datetime,Bus_speed
28-02-2020 09:05,19.194
28-02-2020 09:10,18.595
28-02-2020 09:15,17.045
28-02-2020 09:20,19.068
28-02-2020 09:25,16.708
28-02-2020 09:30,15.607
28-02-2020 09:35,15.882
28-02-2020 09:40,11.25
28-02-2020 09:45,15.067
28-02-2020 09:50,13.664
28-02-2020 09:55,15.734
28-02-2020 10:00,8.755
28-02-2020 10:05,16.875
28-02-2020 10:10,2.875
28-02-2020 10:15,16.514
28-02-2020 10:20,13.975
28-02-2020 10:25,3.613
28-02-2020 10:30,12.95
28-02-2020 10:35,19.565
28-02-2020 10:40,13.966
28-02-2020 10:45,15.845
28-02-2020 10:50,16.413
28-02-2020 10:55,17.624
28-02-2020 11:00,14.063
28-02-2020 16:35,1.512
28-02-2020 16:40,2.107
28-02-2020 16:45,1.957
28-02-2020 16:50,1.502
28-02-2020 16:55,2.516
28-02-2020 17:00,1.794
28-02-2020 17:05,11.227
28-02-2020 17:10,5.745
28-02-2020 17:15,7.741
28-02-2020 17:20,9.278
28-02-2020 17:25,17.682
28-02-2020 17:30,13.527
28-02-2020 17:35,15.652
28-02-2020 17:40,19.355
28-02-2020 17:45,12.558
28-02-2020 17:50,11.947
28-02-2020 17:55,10.266
28-02-2020 18:00,13.882
28-02-2020 18:05,13.473
28-02-2020 18:10,15.734
28-02-2020 18:15,16.833
28-02-2020 18:20,14.129
28-02-2020 18:25,13.3
28-02-2020 18:30,7.998
28-02-2020 18:35,18.557
28-02-2020 18:40,14.587
28-02-2020 18:45,14.331
28-02-2020 18:50,14.868
28-02-2020 18:55,11.698
28-02-2020 19:00,16.833
