datetime,Car_volume,2W_volume,3W_volume,Bus_volume,LCV_volume,Truck_volume,Cyc_volume,Car_speed,2W_speed,3W_speed,Bus_speed,LCV_speed,Truck_speed,Cyc_speed
26-02-2020 10:55,285,207,108,25,7,2,2,24.908,35.156,29.605,16.615,21.704,15.169,12.385
26-02-2020 16:35,288,160,99,17,19,4,2,26.367,30.269,26.68,18.048,25.352,25.234,13.918
26-02-2020 16:40,302,169,86,12,12,3,7,23.478,24.908,22.881,15.306,17.94,15.667,13.3
26-02-2020 16:45,258,153,84,18,9,5,2,21.429,14.181,17.59,15.517,23.824,16.187,10.714
26-02-2020 16:50,262,148,77,23,25,3,3,21.028,26.163,21.293,16.304,18.293,16.564,13.846
26-02-2020 16:55,308,169,97,15,18,6,3,19.912,26.471,22.351,15.929,19.956,18.161,16.875
26-02-2020 17:05,253,151,99,24,11,4,4,23.684,30.543,19.679,16.265,18.409,11.563,15
26-02-2020 17:10,263,156,66,26,10,5,4,26.892,30.822,26.892,19.679,22.204,19.798,13.636
26-02-2020 17:15,276,158,69,16,8,6,4,26.812,31.69,25.376,17.905,22.011,19.53,12.736
26-02-2020 17:20,250,136,73,10,5,5,3,25,31.991,22.204,17.132,27.136,19.756,12.736
26-02-2020 17:25,287,155,89,19,4,1,4,23.663,30.682,22.651,18.802,22.979,20.455,12.273
26-02-2020 17:35,229,112,74,17,8,2,2,27.439,28.602,24.368,16.875,23.601,19.149,14.674
26-02-2020 17:40,324,150,95,21,8,4,1,22.804,26.471,22.425,17.089,20.455,18.621,12.273
26-02-2020 17:45,312,148,75,14,5,2,2,24.021,35.156,23.41,19.355,19.341,20.769,12.5
26-02-2020 17:50,287,143,72,23,9,4,3,25.472,31.84,29.867,20.517,23.824,21.951,16.463
26-02-2020 17:55,344,162,61,21,2,4,1,26.062,34.615,27.218,17.59,21.951,18.326,16.463
26-02-2020 18:05,297,150,62,20,8,7,2,22.113,36.685,22.727,16.497,21.429,18.305,13.706
26-02-2020 18:10,353,163,78,14,4,3,6,25.763,27.664,26.367,12.919,18.493,14.674,9.818
26-02-2020 18:15,358,207,85,12,2,4,6,13.132,26.786,21.916,15.836,22.161,17.881,13.776
26-02-2020 18:20,368,192,73,12,6,3,0,25.568,29.221,23.438,16.791,21.687,18.493,15.698
26-02-2020 18:25,293,167,77,15,6,3,5,25.448,14.211,27.108,18.145,22.041,19.39,12.329
26-02-2020 18:35,351,169,67,11,5,1,3,19.452,31.469,24.457,17.717,21.658,23.276,12.054
26-02-2020 18:40,310,189,73,18,2,0,4,25.568,35.065,23.437,17.717,19.286,19.014,13.411
26-02-2020 18:45,298,180,69,16,9,1,3,25.187,29.348,26.062,16.96,19.78,24.107,14.835
26-02-2020 18:50,292,165,81,9,7,3,1,27.439,37.5,27.218,19.014,24.107,22.253,14.835
26-02-2020 18:55,300,149,63,17,8,3,2,28.125,39.941,31.84,18.685,24.847,21.094,12.5
26-02-2020 08:35,179,84,59,24,6,1,5,38.571,41.86,25.714,17.822,19.286,27.273,13.203
26-02-2020 08:40,187,78,49,20,4,0,2,40.602,36.986,32.335,18.815,23.377,27.273,13.012
26-02-2020 08:45,214,99,67,13,3,5,3,32.335,35.294,29.67,15.562,28.723,24.545,16.564
26-02-2020 08:50,189,8,68,20,4,5,4,26.087,32.143,32.143,15.385,30,22.979,14.754
26-02-2020 08:55,211,107,67,15,4,1,2,29.508,30,19.926,12.796,19.495,22.131,17.647
26-02-2020 09:05,202,110,66,17,4,2,2,31.214,40.909,30.168,16.265,24.434,28.125,9.926
