datetime,PCUFlow
2/26/2020 18:30,593.65
2/26/2020 19:00,484.44
2/27/2020 9:00,598.05
2/27/2020 9:30,547.19
2/27/2020 10:00,615.36
2/27/2020 10:30,500.86
2/27/2020 11:00,514.07
2/27/2020 17:00,541.55
2/27/2020 17:30,616.41
2/27/2020 18:00,571.56
2/27/2020 18:30,549.08
2/27/2020 19:00,426.38
2/27/2020 9:00,438.47
2/27/2020 9:30,495.24
2/27/2020 10:00,449.96
2/27/2020 10:30,577.01
2/27/2020 11:00,648.51
2/27/2020 17:00,621.75
2/27/2020 17:30,496.88
2/27/2020 18:00,610.05
2/27/2020 18:30,598.66
2/27/2020 19:00,470.00
2/28/2020 9:00,482.25
2/28/2020 9:30,657.41
2/28/2020 10:00,561.60
2/28/2020 10:30,551.99
2/28/2020 11:00,568.67
2/28/2020 17:00,394.87
2/28/2020 17:30,537.87
2/28/2020 18:00,454.09
2/28/2020 18:30,446.53
2/28/2020 19:00,384.23
2/28/2020 9:00,571.10
2/28/2020 9:30,470.01
2/28/2020 10:00,627.58
2/28/2020 10:30,496.22
2/28/2020 11:00,561.42
2/28/2020 17:00,290.66
2/28/2020 17:30,671.93
2/28/2020 18:00,601.09
2/28/2020 18:30,482.07
2/28/2020 19:00,453.76
